N,repetition,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
1,0,0.5240641711229946,0.5624607418725066,0.5240641711229946,0.5095665868915558,0.5624607418725065,0.5240641711229946,0.5095665868915558
1,1,0.5187165775401069,0.5172874253369609,0.5187165775401068,0.5019200020192238,0.5172874253369609,0.5187165775401069,0.5019200020192239
1,2,0.6096256684491979,0.6558527097864195,0.6096256684491979,0.6072058610196116,0.6558527097864195,0.6096256684491979,0.6072058610196115
1,3,0.5561497326203209,0.6456654967081118,0.5561497326203209,0.5648202118608238,0.6456654967081119,0.5561497326203209,0.5648202118608237
1,4,0.5187165775401069,0.5586119474527779,0.5187165775401069,0.5085844530009092,0.558611947452778,0.5187165775401069,0.5085844530009093
1,5,0.5989304812834224,0.7698572411420709,0.5989304812834224,0.6206126048608137,0.7698572411420709,0.5989304812834224,0.6206126048608138
1,6,0.5935828877005348,0.6463860053825452,0.5935828877005348,0.5917192999788234,0.6463860053825452,0.5935828877005348,0.5917192999788236
1,7,0.45989304812834225,0.497002756445481,0.45989304812834225,0.42867688701021855,0.4970027564454809,0.45989304812834225,0.42867688701021855
1,8,0.5187165775401069,0.5295976082740789,0.5187165775401069,0.4982536035601908,0.5295976082740789,0.5187165775401069,0.4982536035601908
1,9,0.6256684491978609,0.6692927170868346,0.625668449197861,0.6281877160476004,0.6692927170868347,0.6256684491978609,0.6281877160476003
1,10,0.5240641711229946,0.5222222830075997,0.5240641711229947,0.5063939453010898,0.5222222830075997,0.5240641711229946,0.5063939453010898
1,11,0.5721925133689839,0.6373556998556998,0.5721925133689839,0.5894929933209392,0.6373556998556998,0.5721925133689839,0.5894929933209391
1,12,0.5133689839572193,0.5720402060959336,0.5133689839572193,0.5016895217924757,0.5720402060959336,0.5133689839572193,0.5016895217924757
1,13,0.5133689839572193,0.5408406952524599,0.5133689839572192,0.5086027238208282,0.5408406952524599,0.5133689839572193,0.5086027238208283
1,14,0.5775401069518716,0.6443668967889637,0.5775401069518716,0.5791135918629129,0.6443668967889636,0.5775401069518716,0.5791135918629128
1,15,0.4919786096256685,0.6068070818070819,0.49197860962566853,0.48816066388707247,0.6068070818070818,0.4919786096256685,0.4881606638870725
1,16,0.48663101604278075,0.4988200418507325,0.4866310160427807,0.4688130537972163,0.49882004185073237,0.48663101604278075,0.4688130537972164
1,17,0.5775401069518716,0.6381343455681503,0.5775401069518716,0.5703303030565824,0.6381343455681503,0.5775401069518716,0.5703303030565824
1,18,0.5187165775401069,0.622560746786753,0.5187165775401068,0.5180105716527453,0.6225607467867529,0.5187165775401069,0.5180105716527452
1,19,0.5828877005347594,0.6547757797757798,0.5828877005347595,0.592964524772305,0.6547757797757798,0.5828877005347594,0.5929645247723051
1,20,0.5989304812834224,0.6628821285403598,0.5989304812834224,0.6096727979117343,0.6628821285403598,0.5989304812834224,0.6096727979117343
1,21,0.5080213903743316,0.5084303912158584,0.5080213903743316,0.47299141637141096,0.5084303912158584,0.5080213903743316,0.472991416371411
1,22,0.48128342245989303,0.5494109799803703,0.48128342245989303,0.4580897406693851,0.5494109799803701,0.48128342245989303,0.4580897406693851
1,23,0.5401069518716578,0.5136530136530135,0.5401069518716577,0.5137063143379842,0.5136530136530137,0.5401069518716578,0.5137063143379843
1,24,0.5294117647058824,0.5861141558072505,0.5294117647058824,0.5383848015565331,0.5861141558072505,0.5294117647058824,0.5383848015565332
1,25,0.6042780748663101,0.655491644072959,0.6042780748663101,0.6074505841667355,0.6554916440729589,0.6042780748663101,0.6074505841667355
1,26,0.6042780748663101,0.6507561610502788,0.6042780748663102,0.5989474607733372,0.6507561610502787,0.6042780748663101,0.5989474607733372
